TimeSinceStart_s,Temperature,Humidity,Latitude,Longitude,Altitude,TimeUTC,PM1_0,PM2_5,PM4_0,PM10_0,ref_Temperature,ref_Humidity,ref_PM1_0,ref_PM2_5,ref_PM4_0,ref_PM10_0,diff_Temperature,diff_Humidity,diff_PM1_0,diff_PM2_5,diff_PM4_0,diff_PM10_0
670,34.11,28.09,47.391975,8.532164,443.4,9020900.0,4.11,4.35,4.35,4.35,16.29,57.81,-9999.0,9.72,-9999.0,13.23,17.82,-29.72,-9999.0,-5.37,-9999.0,-8.88
675,33.89,29.18,47.391953,8.532191,445.1,9021400.0,4.21,4.45,4.45,4.45,16.29,57.81,-9999.0,9.72,-9999.0,13.23,17.6,-28.63,-9999.0,-5.27,-9999.0,-8.78
680,33.41,29.99,47.39183,8.532239,447.0,9021900.0,4.24,4.49,4.49,4.49,16.29,57.81,-9999.0,9.72,-9999.0,13.23,17.12,-27.82,-9999.0,-5.23,-9999.0,-8.74
685,32.57,30.04,47.3918,8.531993,446.1,9022400.0,4.24,4.49,4.49,4.49,16.29,57.81,-9999.0,9.72,-9999.0,13.23,16.28,-27.77,-9999.0,-5.23,-9999.0,-8.74
690,32.2,30.55,47.391918,8.531808,445.4,9022800.0,4.54,4.8,4.8,4.8,16.29,57.81,-9999.0,9.72,-9999.0,13.23,15.91,-27.26,-9999.0,-4.92,-9999.0,-8.43
695,31.9,31.06,47.392117,8.531574,441.6,9023300.0,4.38,4.63,4.63,4.63,16.29,57.81,-9999.0,9.72,-9999.0,13.23,15.61,-26.75,-9999.0,-5.09,-9999.0,-8.6
700,31.74,31.17,47.392315,8.531318,441.4,9023800.0,4.17,4.41,4.41,4.41,16.29,57.81,-9999.0,9.72,-9999.0,13.23,15.45,-26.64,-9999.0,-5.31,-9999.0,-8.82
705,31.56,31.37,47.392509,8.531055,441.6,9024300.0,3.98,4.21,4.21,4.21,16.29,57.81,-9999.0,9.72,-9999.0,13.23,15.27,-26.44,-9999.0,-5.51,-9999.0,-9.02
710,31.39,31.48,47.392727,8.530819,440.5,9024800.0,3.87,4.1,4.1,4.1,16.29,57.81,-9999.0,9.72,-9999.0,13.23,15.1,-26.33,-9999.0,-5.62,-9999.0,-9.13
715,31.22,31.79,47.392925,8.530569,438.8,9025300.0,3.78,3.99,3.99,3.99,16.29,57.81,-9999.0,9.72,-9999.0,13.23,14.93,-26.02,-9999.0,-5.73,-9999.0,-9.24
720,31.1,31.89,47.392941,8.530308,441.5,9025800.0,3.84,4.06,4.06,4.06,16.29,57.81,-9999.0,9.72,-9999.0,13.23,14.81,-25.92,-9999.0,-5.66,-9999.0,-9.17
725,30.59,32.12,47.392776,8.530083,442.9,9030300.0,3.81,4.03,4.03,4.03,16.29,57.81,-9999.0,9.72,-9999.0,13.23,14.3,-25.69,-9999.0,-5.69,-9999.0,-9.2
730,30.03,32.95,47.392502,8.530022,442.8,9030800.0,3.99,4.22,4.22,4.22,16.29,57.81,-9999.0,9.72,-9999.0,13.23,13.74,-24.86,-9999.0,-5.5,-9999.0,-9.01
735,29.31,34.06,47.392223,8.530187,443.0,9031300.0,3.88,4.1,4.1,4.1,16.29,57.81,-9999.0,9.72,-9999.0,13.23,13.02,-23.75,-9999.0,-5.62,-9999.0,-9.13
740,28.66,34.31,47.391987,8.530438,443.8,9031800.0,3.72,3.94,3.94,3.94,16.29,57.81,-9999.0,9.72,-9999.0,13.23,12.37,-23.5,-9999.0,-5.78,-9999.0,-9.29
745,28.06,35.15,47.391754,8.530706,445.3,9032300.0,3.82,4.04,4.04,4.04,16.29,57.81,-9999.0,9.72,-9999.0,13.23,11.77,-22.66,-9999.0,-5.68,-9999.0,-9.19
750,27.44,36.18,47.391514,8.530997,446.9,9032800.0,4.04,4.27,4.27,4.27,16.29,57.81,-9999.0,9.72,-9999.0,13.23,11.15,-21.63,-9999.0,-5.45,-9999.0,-8.96
755,27.08,37.3,47.391254,8.531279,450.0,9033300.0,4.05,4.28,4.28,4.28,16.29,57.81,-9999.0,9.72,-9999.0,13.23,10.79,-20.51,-9999.0,-5.44,-9999.0,-8.95
760,26.61,37.73,47.390995,8.531562,450.7,9033800.0,3.93,4.15,4.15,4.15,16.29,57.81,-9999.0,9.72,-9999.0,13.23,10.32,-20.08,-9999.0,-5.57,-9999.0,-9.08
765,26.38,38.82,47.390743,8.531862,452.0,9034300.0,3.85,4.07,4.07,4.07,16.29,57.81,-9999.0,9.72,-9999.0,13.23,10.09,-18.99,-9999.0,-5.65,-9999.0,-9.16
770,26.11,39.55,47.390491,8.532163,452.9,9034800.0,3.89,4.12,4.12,4.12,16.29,57.81,-9999.0,9.72,-9999.0,13.23,9.82,-18.26,-9999.0,-5.6,-9999.0,-9.11
775,25.89,39.77,47.390251,8.532454,456.0,9035300.0,3.95,4.18,4.18,4.18,16.29,57.81,-9999.0,9.72,-9999.0,13.23,9.6,-18.04,-9999.0,-5.54,-9999.0,-9.05
780,25.85,40.26,47.390003,8.532769,457.8,9035800.0,3.92,4.15,4.15,4.15,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.55,-13.73,-9999.0,-5.71,-9999.0,-9.99
785,25.74,40.88,47.389744,8.533077,460.0,9040300.0,3.69,3.9,3.9,3.9,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.44,-13.11,-9999.0,-5.96,-9999.0,-10.24
790,25.59,40.98,47.389484,8.533405,461.9,9040800.0,3.66,3.87,3.87,3.87,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.29,-13.01,-9999.0,-5.99,-9999.0,-10.27
795,25.4,41.3,47.389236,8.533749,465.0,9041300.0,3.9,4.13,4.13,4.13,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.1,-12.69,-9999.0,-5.73,-9999.0,-10.01
800,25.31,41.2,47.388947,8.533997,467.2,9041800.0,4.08,4.31,4.31,4.31,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.01,-12.79,-9999.0,-5.55,-9999.0,-9.83
805,25.06,41.42,47.388626,8.534116,468.0,9042300.0,4.17,4.41,4.41,4.41,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.76,-12.57,-9999.0,-5.45,-9999.0,-9.73
810,24.91,41.63,47.388447,8.534176,465.5,9042800.0,4.21,4.45,4.45,4.45,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.61,-12.36,-9999.0,-5.41,-9999.0,-9.69
815,24.76,42.03,47.388126,8.534273,465.8,9043300.0,4.16,4.4,4.4,4.4,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.46,-11.96,-9999.0,-5.46,-9999.0,-9.74
820,24.59,42.35,47.38776,8.534406,463.3,9043800.0,4.08,4.31,4.31,4.31,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.29,-11.64,-9999.0,-5.55,-9999.0,-9.83
825,24.56,42.75,47.387398,8.534575,457.3,9044300.0,4.27,4.52,4.52,4.52,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.26,-11.24,-9999.0,-5.34,-9999.0,-9.62
830,24.45,42.75,47.387157,8.534739,446.0,9044800.0,4.43,4.69,4.69,4.69,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.15,-11.24,-9999.0,-5.17,-9999.0,-9.45
835,24.85,42.83,47.387085,8.534846,438.2,9045300.0,4.54,4.8,4.8,4.8,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.55,-11.16,-9999.0,-5.06,-9999.0,-9.34
840,25.33,42.49,47.387077,8.535003,434.5,9045800.0,4.74,5.02,5.02,5.02,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.03,-11.5,-9999.0,-4.84,-9999.0,-9.12
845,25.66,42.05,47.387047,8.535206,433.3,9050300.0,4.92,5.21,5.21,5.21,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.36,-11.94,-9999.0,-4.65,-9999.0,-8.93
850,25.81,41.66,47.387169,8.53536,434.3,9050800.0,4.94,5.23,5.23,5.23,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.51,-12.33,-9999.0,-4.63,-9999.0,-8.91
855,25.66,41.38,47.38731,8.535547,433.5,9051300.0,4.83,5.11,5.11,5.11,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.36,-12.61,-9999.0,-4.75,-9999.0,-9.03
860,25.41,41.2,47.387432,8.535745,432.8,9051800.0,4.77,5.05,5.05,5.05,17.3,53.99,-9999.0,9.86,-9999.0,14.14,8.11,-12.79,-9999.0,-4.81,-9999.0,-9.09
865,25.26,41.42,47.387554,8.535945,428.7,9052300.0,4.68,4.95,4.95,4.95,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.96,-12.57,-9999.0,-4.91,-9999.0,-9.19
870,25.0,41.82,47.38768,8.536121,425.8,9052800.0,4.45,4.7,4.7,4.7,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.7,-12.17,-9999.0,-5.16,-9999.0,-9.44
875,24.74,42.13,47.38781,8.536281,423.5,9053300.0,4.19,4.44,4.44,4.44,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.44,-11.86,-9999.0,-5.42,-9999.0,-9.7
880,24.84,42.53,47.387932,8.536373,424.4,9053800.0,4.16,4.4,4.4,4.4,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.54,-11.46,-9999.0,-5.46,-9999.0,-9.74
885,24.82,43.13,47.388103,8.536459,427.3,9054300.0,4.08,4.31,4.31,4.31,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.52,-10.86,-9999.0,-5.55,-9999.0,-9.83
890,24.9,43.13,47.388306,8.536515,425.2,9054800.0,4.29,4.54,4.54,4.54,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.6,-10.86,-9999.0,-5.32,-9999.0,-9.6
895,24.82,43.23,47.388458,8.536497,427.6,9055300.0,4.68,4.94,4.94,4.94,17.3,53.99,-9999.0,9.86,-9999.0,14.14,7.52,-10.76,-9999.0,-4.92,-9999.0,-9.2
