TimeSinceStart_s;Temperature;Humidity;Latitude;Longitude;Altitude;TimeUTC;PM1_0;PM2_5;PM4_0;PM10_0
1000;26.64;39.51;47.392048;8.535338;454.30;9073800.00000;5.52;5.84;5.84;5.84
1005;26.28;39.83;47.392281;8.535040;454.20;9074300.00000;5.37;5.68;5.68;5.68
1010;26.05;40.05;47.392525;8.534761;454.50;9074800.00000;5.22;5.52;5.52;5.52
1015;26.08;40.34;47.392784;8.534497;454.00;9075300.00000;5.20;5.50;5.50;5.50
1020;26.20;40.64;47.393044;8.534245;455.00;9075800.00000;4.94;5.22;5.22;5.22
1025;26.05;40.74;47.393299;8.533993;455.20;9080300.00000;4.67;4.94;4.94;4.94
1030;25.89;41.26;47.393570;8.533786;453.80;9080800.00000;4.66;4.93;4.93;4.93
1035;26.08;41.33;47.393841;8.533597;452.80;9081300.00000;4.54;4.81;4.81;4.81
1040;26.15;41.04;47.394104;8.533441;451.40;9081800.00000;4.74;5.02;5.02;5.02
1045;26.24;40.92;47.394356;8.533288;450.60;9082300.00000;4.90;5.18;5.18;5.18
1050;26.38;40.92;47.394588;8.533113;448.30;9082800.00000;4.86;5.14;5.14;5.14
1055;26.64;40.78;47.394802;8.532910;449.20;9083300.00000;4.90;5.18;5.18;5.18
1060;27.15;40.37;47.395004;8.532722;448.20;9083800.00000;5.04;5.33;5.33;5.33
1065;27.42;39.83;47.395164;8.532537;448.90;9084300.00000;4.96;5.25;5.25;5.25
1070;27.90;38.90;47.395317;8.532373;450.80;9084800.00000;4.75;5.03;5.03;5.03
1075;28.28;38.37;47.395462;8.532260;451.00;9085300.00000;4.68;4.95;4.95;4.95
1080;28.64;37.96;47.395599;8.532153;453.60;9085800.00000;4.90;5.18;5.18;5.18
1085;29.06;37.43;47.395645;8.531958;453.60;9090300.00000;5.20;5.50;5.50;5.50
1090;29.41;36.63;47.395664;8.531640;449.70;9090800.00000;5.28;5.59;5.59;5.59
1095;29.52;35.84;47.395756;8.531223;447.00;9091300.00000;5.45;5.77;5.77;5.77
1100;29.40;35.44;47.395828;8.530705;445.80;9091800.00000;5.41;5.72;5.72;5.72
1105;29.13;35.36;47.395859;8.530227;446.70;9092300.00000;5.35;5.66;5.66;5.66
1110;28.96;36.07;47.395855;8.529833;446.20;9092800.00000;5.22;5.52;5.52;5.52
1115;29.03;36.27;47.395836;8.529357;448.20;9093300.00000;5.01;5.30;5.30;5.30
1120;28.98;36.36;47.395882;8.528843;451.30;9093800.00000;4.94;5.23;5.23;5.23
1125;28.96;36.27;47.395943;8.528353;451.20;9094300.00000;4.79;5.06;5.06;5.06
1130;28.94;36.17;47.395988;8.527919;447.90;9094800.00000;4.72;4.99;4.99;4.99
1135;29.12;36.05;47.396030;8.527647;445.50;9095300.00000;4.89;5.17;5.17;5.17
1140;29.44;36.23;47.395992;8.527807;444.80;9095800.00000;4.77;5.05;5.05;5.05
1145;29.44;35.84;47.395947;8.528114;445.90;9100300.00000;4.75;5.02;5.02;5.02
1150;29.13;35.56;47.395878;8.528487;447.90;9100800.00000;5.12;5.41;5.41;5.41
1155;28.94;35.77;47.395832;8.528776;446.70;9101200.00000;5.15;5.44;5.44;5.44
1160;28.75;36.66;47.395775;8.529132;449.00;9101700.00000;4.98;5.27;5.27;5.27
1165;28.57;37.07;47.395756;8.529484;449.70;9102200.00000;5.29;5.59;5.59;5.59
1170;28.54;37.19;47.395763;8.529773;448.70;9102700.00000;5.27;5.57;5.57;5.57
1175;28.31;37.41;47.395748;8.530010;449.70;9103200.00000;4.93;5.22;5.22;5.22
1180;27.85;37.64;47.395557;8.529997;443.90;9103700.00000;4.56;4.82;4.82;4.82
1185;27.13;38.09;47.395252;8.529899;434.80;9104200.00000;4.38;4.64;4.64;4.64
1190;26.65;38.72;47.394951;8.529832;427.90;9104700.00000;4.53;4.79;4.79;4.79
1195;26.56;39.71;47.394882;8.529623;426.40;9105200.00000;4.50;4.76;4.76;4.76
1200;26.70;40.68;47.394974;8.529259;427.50;9105700.00000;4.42;4.68;4.68;4.68
1205;26.95;40.47;47.395084;8.528877;428.60;9110200.00000;4.46;4.72;4.72;4.72
1210;27.27;40.15;47.395184;8.528549;429.50;9110700.00000;4.49;4.75;4.75;4.75
1215;27.45;39.43;47.395283;8.528245;430.20;9111200.00000;4.70;4.97;4.97;4.97
1220;27.69;38.73;47.395405;8.527928;432.10;9111700.00000;4.80;5.08;5.08;5.08
1225;27.97;38.21;47.395523;8.527584;428.00;9112200.00000;4.85;5.13;5.13;5.13
1230;28.15;37.80;47.395618;8.527237;435.00;9112700.00000;4.79;5.06;5.06;5.06
1235;28.53;37.78;47.395687;8.526974;436.70;9113200.00000;4.73;5.00;5.00;5.00
1240;29.07;37.34;47.395630;8.527099;437.90;9113700.00000;4.84;5.12;5.12;5.12
1245;29.13;36.36;47.395535;8.527360;440.00;9114200.00000;4.79;5.06;5.06;5.06
1250;29.00;35.88;47.395412;8.527702;442.30;9114700.00000;4.91;5.20;5.20;5.20
1255;28.81;35.89;47.395271;8.528078;441.30;9115200.00000;5.06;5.35;5.35;5.35
1260;28.22;36.22;47.395088;8.528231;435.40;9115700.00000;5.24;5.54;5.54;5.54
1265;27.82;37.05;47.394833;8.528060;431.80;9120200.00000;5.20;5.50;5.50;5.50
1270;27.76;37.24;47.394623;8.528024;428.70;9120700.00000;5.14;5.43;5.43;5.43
1275;27.78;37.34;47.394501;8.528345;431.50;9121200.00000;5.10;5.39;5.39;5.39
1280;27.69;37.96;47.394360;8.528708;430.70;9121700.00000;4.81;5.09;5.09;5.09
1285;27.37;37.96;47.394226;8.529067;432.50;9122200.00000;4.71;4.98;4.98;4.98
1290;27.30;37.98;47.394081;8.529403;433.30;9122700.00000;4.74;5.01;5.01;5.01
1295;26.85;38.40;47.393883;8.529482;434.30;9123200.00000;4.70;4.97;4.97;4.97
1300;26.30;38.94;47.393669;8.529416;442.00;9123700.00000;5.10;5.39;5.39;5.39
1305;26.38;39.81;47.393616;8.529304;447.80;9124200.00000;5.37;5.68;5.68;5.68
1310;26.85;40.29;47.393715;8.529028;449.20;9124700.00000;5.41;5.73;5.73;5.73
1315;27.26;40.05;47.393822;8.528754;449.50;9125200.00000;5.41;5.72;5.72;5.72
1320;27.66;39.22;47.393951;8.528405;446.20;9125700.00000;5.36;5.67;5.67;5.67
1325;27.87;38.53;47.394077;8.528037;443.10;9130200.00000;5.43;5.74;5.74;5.74
1330;28.09;38.12;47.394207;8.527622;441.50;9130700.00000;5.45;5.76;5.76;5.76
1335;28.37;38.00;47.394356;8.527191;441.40;9131200.00000;5.65;5.97;5.97;5.97
1340;28.52;37.59;47.394386;8.526714;438.70;9131700.00000;5.86;6.19;6.19;6.19
1345;28.42;36.99;47.394207;8.526340;440.60;9132200.00000;5.53;5.85;5.85;5.85
1350;28.68;36.90;47.394184;8.525959;440.50;9132700.00000;5.32;5.62;5.62;5.62
1355;28.77;36.58;47.394264;8.525568;442.10;9133200.00000;5.12;5.42;5.42;5.42
1360;28.96;36.25;47.394390;8.525219;441.30;9133700.00000;4.92;5.20;5.20;5.20
1365;29.24;36.15;47.394588;8.524940;440.60;9134200.00000;4.83;5.11;5.11;5.11
1370;29.31;36.05;47.394859;8.524768;439.90;9134700.00000;4.58;4.84;4.84;4.84
1375;29.29;35.74;47.395111;8.524596;439.60;9135200.00000;4.45;4.71;4.71;4.71
1380;29.52;35.82;47.395260;8.524220;438.00;9135700.00000;4.63;4.90;4.90;4.90
1385;29.80;35.92;47.395367;8.523851;436.20;9140200.00000;4.76;5.03;5.03;5.03
1390;30.11;35.59;47.395466;8.523492;433.60;9140700.00000;4.97;5.25;5.25;5.25
1395;30.28;35.00;47.395557;8.523143;432.70;9141200.00000;5.01;5.30;5.30;5.30
1400;30.40;34.59;47.395634;8.522809;432.80;9141700.00000;4.64;4.91;4.91;4.91
1405;30.48;34.30;47.395676;8.522518;432.00;9142200.00000;4.49;4.75;4.75;4.75
1410;30.46;34.10;47.395542;8.522418;430.70;9142700.00000;4.37;4.62;4.62;4.62
1415;30.10;33.94;47.395283;8.522260;428.30;9143200.00000;4.16;4.40;4.40;4.40
1420;29.80;34.15;47.395237;8.521984;431.90;9143700.00000;4.09;4.33;4.33;4.33
1425;29.77;34.54;47.395340;8.521657;436.70;9144200.00000;4.07;4.30;4.30;4.30
1430;29.59;34.54;47.395405;8.521341;437.50;9144700.00000;4.43;4.69;4.69;4.69
1435;29.61;34.66;47.395489;8.521009;438.60;9145200.00000;4.61;4.87;4.87;4.87
1440;29.65;34.84;47.395576;8.520654;439.60;9145700.00000;4.73;5.01;5.01;5.01
1445;29.71;34.94;47.395668;8.520324;440.20;9150200.00000;4.64;4.91;4.91;4.91
1450;29.83;35.21;47.395756;8.519995;439.60;9150700.00000;4.52;4.78;4.78;4.78
1455;30.00;35.11;47.395836;8.519651;441.80;9151200.00000;4.49;4.75;4.75;4.75
1460;29.96;34.53;47.395931;8.519291;441.80;9151700.00000;4.60;4.86;4.86;4.86
1465;29.86;34.13;47.396023;8.518954;437.70;9152200.00000;4.38;4.63;4.63;4.63
1470;29.93;34.43;47.396118;8.518620;443.00;9152700.00000;4.25;4.49;4.49;4.49
1475;29.99;34.63;47.396191;8.518300;449.60;9153200.00000;4.14;4.38;4.38;4.38
1480;30.15;34.90;47.396248;8.517988;449.30;9153700.00000;4.14;4.38;4.38;4.38
1485;30.05;34.72;47.396282;8.517672;453.20;9154200.00000;4.50;4.76;4.76;4.76
1490;29.96;34.53;47.396271;8.517363;457.60;9154700.00000;4.56;4.83;4.83;4.83
1495;29.81;34.33;47.396271;8.517069;462.80;9155200.00000;4.53;4.79;4.79;4.79
1500;29.70;34.25;47.396290;8.516771;464.00;9155700.00000;4.28;4.52;4.52;4.52
1505;29.77;34.34;47.396282;8.516441;463.40;9160200.00000;4.18;4.42;4.42;4.42
1510;29.93;34.23;47.396252;8.516181;465.40;9160700.00000;3.90;4.12;4.12;4.12
1515;29.81;34.63;47.396217;8.516002;465.10;9161200.00000;3.89;4.12;4.12;4.12
1520;29.49;34.86;47.396130;8.515899;461.20;9161700.00000;4.01;4.24;4.24;4.24
